"Date","days","infected.obs","removed.obs","susceptible.pred","exposed.pred","infected.pred","removed.pred"
"2020-01-22",22,0,0,60479997.6071713,0.794986221337392,0,0
"2020-01-23",23,0,0,60479997.6071713,0.794986221337392,0,0
"2020-01-24",24,0,0,60479997.6071713,0.794986221337392,0,0
"2020-01-25",25,0,0,60479997.6071713,0.794986221337392,0,0
"2020-01-26",26,0,0,60479997.6071713,0.794986221337392,0,0
"2020-01-27",27,0,0,60479997.6071713,0.794986221337392,0,0
"2020-01-28",28,0,0,60479997.6071713,0.794986221337392,0,0
"2020-01-29",29,0,0,60479997.6071713,0.794986221337392,0,0
"2020-01-30",30,0,0,60479997.6071713,0.794986221337392,0,0
"2020-01-31",31,2,0,60479997.6071713,0.794986221337392,0,0
"2020-02-01",32,2,0,60479997.6071713,0.794986221337392,0,0
"2020-02-02",33,2,0,60479997.6071713,0.794986221337392,13.0095343812645,0.0952608908039027
"2020-02-03",34,2,0,60479986.2186594,1.16213786927733,23.5549267031885,0.571228800567785
"2020-02-04",35,2,0,60479967.6287913,1.86257315266632,40.6078433522487,1.40774501950985
"2020-02-05",36,2,0,60479938.7019648,2.84516065756309,67.1422942221778,2.81753309993919
"2020-02-06",37,2,0,60479895.8284393,4.13683292264259,106.445423468203,5.09625702053787
"2020-02-07",38,3,0,60479835.3640032,5.72109915714168,161.793735631378,8.62811478332328
"2020-02-08",39,3,0,60479754.2440153,7.52571847065929,235.859273713296,13.8779452903318
"2020-02-09",40,3,0,60479650.6735889,9.42204973008116,330.045031625436,21.3662825106069
"2020-02-10",41,3,0,60479524.7018173,11.2424427453223,443.934838185294,31.6278545536036
"2020-02-11",42,3,0,60479378.4646617,12.8140818896212,575.069419511289,45.1587896515627
"2020-02-12",43,3,0,60479215.9579975,14.0009804797252,719.183063546301,62.3649112795382
"2020-02-13",44,3,0,60479042.3258076,14.7382389441384,870.921162979678,83.521743221915
"2020-02-14",45,3,0,60478863.0545892,15.0194533704798,1024.67535483652,108.757555342935
"2020-02-15",46,3,0,60478683.368717,14.8876026573478,1175.19594256653,138.054690527191
"2020-02-16",47,3,0,60478507.6435364,14.4311147714218,1318.16534532164,171.266956311886
"2020-02-17",48,3,0,60478338.9758574,13.7668430040776,1450.61377054268,208.150481769594
