"Date","days","infected.obs","removed.obs","susceptible.pred","exposed.pred","infected.pred","removed.pred"
"2020-01-22",22,1,0,51469995.041216,4.11384580298066,0,0
"2020-01-23",23,1,0,51469995.041216,4.11384580298066,15.4941487698041,0.491186297872942
"2020-01-24",24,2,0,51469990.5776108,8.26837415042277,15.2953386626547,0.999073238597379
"2020-01-25",25,2,0,51469985.7623773,12.5635109267123,15.3105798861494,1.50392874421433
"2020-01-26",26,3,0,51469980.5271974,17.0591028051662,15.5412590730662,2.01283755517189
"2020-01-27",27,4,0,51469974.7889793,21.8264706958875,15.991965033726,2.53298178526252
"2020-01-28",28,4,0,51469968.4562297,26.9416278696567,16.6707866718688,3.07175260665236
"2020-01-29",29,4,0,51469961.4321004,32.4820981788163,17.589331721489,3.63686658548932
"2020-01-30",30,4,0,51469953.6163347,38.5249381101847,18.7626432737455,4.23648078965857
"2020-01-31",31,11,0,51469944.9090008,45.1431097797363,20.2089830895818,4.87930315548919
"2020-02-01",32,12,0,51469935.2165104,52.3997996938144,21.9493944784351,5.57469232048567
"2020-02-02",33,15,0,51469924.4601897,60.3405281133139,24.0069411163264,6.33273796366487
"2020-02-03",34,15,0,51469912.5554225,69.0146885122391,26.4059731402045,7.16431272003025
"2020-02-04",35,16,0,51469899.29211,78.5922009271335,29.1749411012965,8.08114480741865
"2020-02-05",36,19,0,51469884.2318113,89.4577780389078,32.3547284353868,9.09607905573143
"2020-02-06",37,23,0,51469866.6062447,102.299585940908,36.0108876088651,10.2236786004378
"2020-02-07",38,23,1,51469845.17372,118.234689581569,40.250681877764,11.4813054452424
"2020-02-08",39,23,1,51469818.0108251,138.991656252104,45.2470446219018,12.8908709459575
"2020-02-09",40,22,3,51469782.1984137,167.187550665483,51.2728959261589,14.4815365885465
"2020-02-10",41,24,3,51469733.5208585,206.576799239365,58.7489646562278,16.293774466437
"2020-02-11",42,25,3,51469666.53719,261.925768167719,68.292362410469,18.3850762890358
"2020-02-12",43,21,7,51469574.3201572,339.220110431855,80.7629491941508,20.8371800661872
"2020-02-13",44,21,7,51469447.9058161,446.142543602769,97.3269589794058,23.7650782295275
"2020-02-14",45,21,7,51469275.7324684,592.537046680908,119.542391254435,27.3284905599427
"2020-02-15",46,19,9,51469043.2908888,790.643100552333,149.459960415639,31.7464471196792
"2020-02-16",47,20,9,51468733.4033991,1054.70295233716,189.718840345181,37.315205123787
"2020-02-17",48,20,10,51468327.1399891,1399.97090321034,243.600777709308,44.4287268864873
"2020-02-18",49,19,12,51467804.0178974,1842.47050471353,315.051707930213,53.6002868339882
"2020-02-19",50,19,12,51467143.505757,2397.48081580549,408.669409848129,65.4844141637987
"2020-02-20",51,87,17,51466328.3073515,3076.36385883902,529.572502042198,80.8966844280145
"2020-02-21",52,186,18,51465349.1061219,3882.12178270051,683.086176562632,100.826315654752
"2020-02-22",53,415,18,51464210.7043938,4803.81122892867,874.190179394714,126.434594671173
"2020-02-23",54,578,24,51462939.0679947,5810.35021929866,1106.69159645344,159.030586390484
"2020-02-24",55,807,26,51461587.1436361,6845.84136549598,1382.14034259796,200.015052699359
"2020-02-25",56,945,32,51460234.5125655,7831.1485278441,1698.69250381037,250.786799717897
"2020-02-26",57,1227,34,51458981.1732001,8671.11748086634,2050.23466316412,312.61505269994
"2020-02-27",58,1731,35,51457934.3650636,9268.2413923836,2426.04304464009,386.490896235977
"2020-02-28",59,2302,35,51457187.9097293,9542.95374837761,2811.29620776858,472.980711438352
"2020-02-29",60,3107,43,51456796.6407598,9457.70620162724,3188.67928832181,572.11414712463
"2020-03-01",61,3689,47,51456750.9012336,9039.78063378437,3541.11458401029,683.343945479301
"2020-03-02",62,4277,58,51456969.1747559,8385.15037022852,3855.20497887894,805.61029187199
"2020-03-03",63,5128,58,51457336.7777005,7617.27377381197,4123.58165426412,937.507268263845
"2020-03-04",64,5545,76,51457737.3740445,6855.11565471739,4345.16013244672,1077.49056522165
"2020-03-05",65,6012,76,51458071.4696356,6195.34407279884,4524.25391664727,1224.07277183514
"2020-03-06",66,6416,177,51458270.4376957,5699.75761077091,4668.96836313579,1375.97672728457
"2020-03-07",67,6862,179,51458305.481308,5388.26350945977,4789.16761389401,1532.22796555717
"2020-03-08",68,7146,168,51458192.417389,5236.26941207547,4894.2769213923,1692.17667435481
"2020-03-09",69,7307,171,51457984.1539712,5184.3012862722,4991.23714152273,1855.44799782422
"2020-03-10",70,7212,301,51457736.9960999,5172.59701875691,5083.70553001983,2021.84174823204
"2020-03-11",71,7407,348,51457496.6791672,5154.62855438994,5172.60144195202,2191.23123334878
"2020-03-12",72,7470,399,51457296.9523035,5097.83305057745,5256.86962771634,2363.48541508537
"2020-03-13",73,7403,576,51457158.4814003,4984.0018007225,5334.2409275815,2538.41626823565
"2020-03-14",74,7504,582,51457087.748511,4809.65362385186,5401.98709355963,2715.75116849852
"2020-03-15",75,7577,585,51457076.0853332,4586.25787020701,5457.66710509047,2895.13008840128
"2020-03-16",76,7024,1212,51457102.5089319,4336.70136978975,5499.80332905238,3076.12676610994
"2020-03-17",77,6832,1488,51457145.6190419,4083.11807429876,5528.11709859238,3258.286182086
"2020-03-18",78,6789,1624,51457188.4601467,3842.22375417388,5543.29559406633,3441.16090199668
"2020-03-19",79,6934,1631,51457218.9616432,3625.15296331639,5546.68784305475,3624.3379472973
