"Date","days","infected.obs","removed.obs","susceptible.pred","exposed.pred","infected.pred","removed.pred"
"2020-01-22",22,1,0,51469998.802396,6.04345297512931,0,0
"2020-01-23",23,1,0,51469998.802396,6.04345297512931,0,0
"2020-01-24",24,2,0,51469998.802396,6.04345297512931,3.7716994222584,0.00994909384897597
"2020-01-25",25,2,0,51469996.139166,6.61441451409823,5.72176819765269,0.152148720006286
"2020-01-26",26,3,0,51469992.7245457,7.65951808701598,7.88766572058369,0.355767994961466
"2020-01-27",27,4,0,51469988.6782678,8.94267185312398,10.3774440202698,0.629113861550509
"2020-01-28",28,4,0,51469984.1412817,10.2754905941502,13.2280986157409,0.982626603374674
"2020-01-29",29,4,0,51469979.3039783,11.4808912485713,16.4156984695355,1.42692950905682
"2020-01-30",30,4,0,51469974.3862047,12.4077879885676,19.8624124787721,1.97109233990455
"2020-01-31",31,11,0,51469969.5942423,12.9606611876776,23.4513814125467,2.62121258901952
"2020-02-01",32,12,0,51469965.0627797,13.1334505814648,27.0516755427507,3.37959169511888
"2020-02-02",33,15,0,51469960.7908367,13.0386664303609,30.5531798869504,4.24481450594333
"2020-02-03",34,15,0,51469956.5843113,12.9223638135884,33.9078382804682,5.212984138685
"2020-02-04",35,16,0,51469952.0124384,13.1628848417098,37.1719498986966,6.28022441253041
"2020-02-05",36,19,0,51469946.4414285,14.2008934200176,40.5388131104941,7.44636249186289
"2020-02-06",37,23,0,51469939.1951487,16.385155757971,44.328175149572,8.71901792569721
"2020-02-07",38,23,1,51469929.6055788,19.9586912801839,48.9464201551998,10.1168073176685
"2020-02-08",39,23,1,51469917.0076548,25.0932054620674,54.8551941294758,11.671443088091
"2020-02-09",40,22,3,51469900.7531743,31.8964785401412,62.5487995339122,13.4290451447058
"2020-02-10",41,24,3,51469880.2941114,40.3573110104642,72.5253434468995,15.4507316045351
"2020-02-11",42,25,3,51469855.3923108,50.1975483435453,85.2257016859443,17.8119367113365
"2020-02-12",43,21,7,51469826.2730052,60.8261623856217,100.929164573816,20.5991653209178
"2020-02-13",44,21,7,51469793.3478473,71.6681636141002,119.707331147691,23.9041554918465
"2020-02-14",45,21,7,51469757.0028204,82.3381147304151,141.468389183383,27.8181731751882
"2020-02-15",46,19,9,51469717.2943928,92.8498173400972,166.054881820731,32.4284055281766
"2020-02-16",47,20,9,51469673.4267175,103.95291349053,193.42935676594,37.8185096789308
"2020-02-17",48,20,10,51469623.0071519,117.562806015553,223.981054217245,44.0764853138383
"2020-02-18",49,19,12,51469561.0496332,137.283637427824,258.980322923205,51.3139038901873
"2020-02-19",50,19,12,51469479.4198709,168.365639150336,301.141125321295,59.7008621350013
"2020-02-20",51,87,17,51469367.6260627,216.564155084324,354.922385409212,69.5148942712718
"2020-02-21",52,186,18,51469212.4815126,288.315746862734,426.635427774947,81.1948102239837
"2020-02-22",53,415,18,51468997.2155543,391.299045626933,524.712995463456,95.3999020494795
"2020-02-23",54,578,24,51468701.0887138,534.38642812465,660.073189757582,113.079165752391
"2020-02-24",55,807,26,51468300.7613597,726.079046138699,846.238084509309,135.549007093045
"2020-02-25",56,945,32,51467775.5491624,970.022315804642,1098.49352462866,164.562494562754
"2020-02-26",57,1227,34,51467115.5176867,1259.5412512059,1431.24145727737,202.327102249713
"2020-02-27",58,1731,35,51466325.6354624,1577.07987167384,1854.48674303478,251.425420349906
"2020-02-28",59,2302,35,51465431.4093036,1892.45779429931,2370.13160834122,314.62879121658
"2020-02-29",60,3107,43,51464481.8926434,2164.03395420484,2968.10621949118,394.594680310732
"2020-03-01",61,3689,47,51463544.7608098,2346.3696211059,3624.0315432424,493.465523266656
"2020-03-02",62,4277,58,51462691.1332243,2404.45761953483,4300.58885309087,612.447800469258
"2020-03-03",63,5128,58,51461971.713688,2331.18955782105,4954.21448093326,751.509770696118
"2020-03-04",64,5545,76,51461400.9241527,2152.30678079004,5546.04207563613,909.3544883274
"2020-03-05",65,6012,76,51460969.2424624,1906.25672276161,6049.4361122496,1083.69219998393
"2020-03-06",66,6416,177,51460652.9053207,1632.54033876921,6451.54142366925,1271.6404142717
"2020-03-07",67,6862,179,51460421.3601262,1365.04713455861,6752.09489951296,1470.12533712515
"2020-03-08",68,7146,168,51460244.9747903,1127.10700782757,6960.32830890888,1676.21739038553
"2020-03-09",69,7307,171,51460101.3526757,929.158356603696,7090.76167563165,1887.35478951199
"2020-03-10",70,7212,301,51459979.5036729,768.914050228765,7158.77438714503,2101.43538711507
"2020-03-11",71,7407,348,51459878.3169333,636.506862428488,7177.01954514644,2316.78415653728
"2020-03-12",72,7470,399,51459797.9801987,523.909993960183,7154.68529918814,2532.0520055459
"2020-03-13",73,7403,576,51459737.6741748,426.227017467535,7098.59880160493,2746.12750352152
"2020-03-14",74,7504,582,51459695.6940462,340.699414016308,7014.15322833429,2958.08080887878
"2020-03-15",75,7577,585,51459669.5777488,265.991645890779,6905.92754629433,3167.13055641751
"2020-03-16",76,7024,1212,51459656.2289029,201.683322508886,6778.08936232209,3372.62590962536
"2020-03-17",77,6832,1488,51459652.0427358,147.902107751785,6634.64437784797,3574.03827599508
"2020-03-18",78,6789,1624,51459653.2983662,104.820735054915,6479.54982580534,3770.95857035927
"2020-03-19",79,6934,1631,51459656.9070152,72.0136952987107,6316.61201477735,3963.09477210391
"2020-03-20",80,7018,1634,51459660.5812757,48.4953044224694,6149.28658522594,4150.26433203978
"2020-03-21",81,7157,1642,51459662.7903041,32.917198647328,5980.53862807767,4332.38136656132
"2020-03-22",82,5941,3020,51459662.6993466,23.7228082554272,5812.76472025635,4509.44062230234
"2020-03-23",83,5941,3020,51459660.102697,19.2634656345849,5647.76150080623,4681.49983393187
"2020-03-24",84,5410,3627,51459655.3525022,17.8854105541229,5486.72791279729,4848.66167182352
"2020-03-25",85,5281,3856,51459649.1304924,18.1336240702494,5330.30712048548,5011.05626041978
"2020-03-26",86,4966,4275,51459642.0125923,19.0622403879987,5178.72633747829,5168.82632726634
"2020-03-27",87,4665,4667,51459634.3741331,20.1637025303464,5031.97223387078,5322.11742791989
