"Date","days","infected.obs","removed.obs","susceptible.pred","exposed.pred","infected.pred","removed.pred"
"2020-01-22",22,0,0,60479999.9265544,9.27581896429535,0,0
"2020-01-23",23,0,0,60479999.9265544,9.27581896429535,0,0
"2020-01-24",24,0,0,60479999.9265544,9.27581896429535,0,0
"2020-01-25",25,0,0,60479999.9265544,9.27581896429535,0,0
"2020-01-26",26,0,0,60479999.9265544,9.27581896429535,0,0
"2020-01-27",27,0,0,60479999.9265544,9.27581896429535,0,0
"2020-01-28",28,0,0,60479999.9265544,9.27581896429535,0,0
"2020-01-29",29,0,0,60479999.9265544,9.27581896429535,0,0
"2020-01-30",30,0,0,60479999.9265544,9.27581896429535,0,0
"2020-01-31",31,2,0,60479999.9265544,9.27581896429535,0,0
"2020-02-01",32,2,0,60479999.9265544,9.27581896429535,0,0
"2020-02-02",33,2,0,60479999.9265544,9.27581896429535,0,0
"2020-02-03",34,2,0,60479999.9265544,9.27581896429535,0,0
"2020-02-04",35,2,0,60479999.9265544,9.27581896429535,0,0
"2020-02-05",36,2,0,60479999.9265544,9.27581896429535,8.82333855056791,0.00367044960185344
"2020-02-06",37,2,0,60479994.0657859,10.3137296293718,13.3513015010213,0.298565341670693
"2020-02-07",38,3,0,60479985.7419978,12.8929662207227,18.6712498808293,0.723168423958808
"2020-02-08",39,3,0,60479974.4385683,16.824269199278,25.4586799219279,1.30786495895842
"2020-02-09",40,3,0,60479959.3332606,22.2323270594953,34.3634233407506,2.10037133550873
"2020-02-10",41,3,0,60479939.3014519,29.4313006212106,46.1298323140445,3.16679750525454
"2020-02-11",42,3,0,60479912.8907777,38.8707163390265,61.6726435966897,4.59524473002917
"2020-02-12",43,3,0,60479878.2852983,51.1105063893871,82.1324560014318,6.50112165747147
"2020-02-13",44,3,0,60479833.2787475,66.7979130993124,108.918947345415,9.03377441340617
"2020-02-14",45,3,0,60479775.2822837,86.6254375417175,143.73759143679,12.3840696230551
"2020-02-15",46,3,0,60479701.3988357,111.251704352459,188.586510983537,16.7923312893533
"2020-02-16",47,3,0,60479608.6067063,141.165976191083,245.701142420543,22.555557400793
"2020-02-17",48,3,0,60479494.0554679,176.520040685051,317.421708303192,30.0321654856814
"2020-02-18",49,3,0,60479355.3857364,217.007795987114,405.993606513825,39.6422434807707
