"Date","days","infected.obs","removed.obs","susceptible.pred","exposed.pred","infected.pred","removed.pred"
"2020-01-22",22,0,0,8821998.13812541,14.582160595276,0,0
"2020-01-23",23,0,0,8821998.13812541,14.582160595276,0,0
"2020-01-24",24,0,0,8821998.13812541,14.582160595276,0,0
"2020-01-25",25,0,0,8821998.13812541,14.582160595276,0,0
"2020-01-26",26,0,0,8821998.13812541,14.582160595276,0,0
"2020-01-27",27,0,0,8821998.13812541,14.582160595276,0,0
"2020-01-28",28,0,0,8821998.13812541,14.582160595276,0,0
"2020-01-29",29,0,0,8821998.13812541,14.582160595276,0,0
"2020-01-30",30,0,0,8821998.13812541,14.582160595276,0,0
"2020-01-31",31,0,0,8821998.13812541,14.582160595276,0,0
"2020-02-01",32,0,0,8821998.13812541,14.582160595276,0,0
"2020-02-02",33,0,0,8821998.13812541,14.582160595276,0,0
"2020-02-03",34,0,0,8821998.13812541,14.582160595276,0,0
"2020-02-04",35,0,0,8821998.13812541,14.582160595276,0,0
"2020-02-05",36,0,0,8821998.13812541,14.582160595276,0,0
"2020-02-06",37,0,0,8821998.13812541,14.582160595276,0,0
"2020-02-07",38,0,0,8821998.13812541,14.582160595276,0,0
"2020-02-08",39,0,0,8821998.13812541,14.582160595276,0,0
"2020-02-09",40,0,0,8821998.13812541,14.582160595276,0,0
"2020-02-10",41,0,0,8821998.13812541,14.582160595276,0,0
"2020-02-11",42,0,0,8821998.13812541,14.582160595276,0,0
"2020-02-12",43,0,0,8821998.13812541,14.582160595276,0,0
"2020-02-13",44,0,0,8821998.13812541,14.582160595276,0,0
"2020-02-14",45,0,0,8821998.13812541,14.582160595276,0,0
"2020-02-15",46,0,0,8821998.13812541,14.582160595276,0,0
"2020-02-16",47,0,0,8821998.13812541,14.582160595276,0,0
"2020-02-17",48,0,0,8821998.13812541,14.582160595276,0,0
"2020-02-18",49,0,0,8821998.13812541,14.582160595276,0,0
"2020-02-19",50,0,0,8821998.13812541,14.582160595276,0,0
"2020-02-20",51,0,0,8821998.13812541,14.582160595276,0,0
"2020-02-21",52,0,0,8821998.13812541,14.582160595276,0,0
"2020-02-22",53,0,0,8821998.13812541,14.582160595276,0,0
"2020-02-23",54,0,0,8821998.13812541,14.582160595276,16.8899154449449,0.316669632698537
