"Date","days","infected.obs","removed.obs","susceptible.pred","exposed.pred","infected.pred","removed.pred"
"2020-01-22",22,0,0,60479991.6874671,21.4555884645492,0,0
"2020-01-23",23,0,0,60479991.6874671,21.4555884645492,0,0
"2020-01-24",24,0,0,60479991.6874671,21.4555884645492,0,0
"2020-01-25",25,0,0,60479991.6874671,21.4555884645492,0,0
"2020-01-26",26,0,0,60479991.6874671,21.4555884645492,0,0
"2020-01-27",27,0,0,60479991.6874671,21.4555884645492,0,0
"2020-01-28",28,0,0,60479991.6874671,21.4555884645492,0,0
"2020-01-29",29,0,0,60479991.6874671,21.4555884645492,0,0
"2020-01-30",30,0,0,60479991.6874671,21.4555884645492,0,0
"2020-01-31",31,2,0,60479991.6874671,21.4555884645492,0,0
"2020-02-01",32,2,0,60479991.6874671,21.4555884645492,11.4575363780302,0.235676847859799
"2020-02-02",33,2,0,60479980.1959632,30.3608403715271,13.7019651487999,0.577500125632962
"2020-02-03",34,2,0,60479967.0131845,40.0320369351315,16.7988766266335,0.992170756808108
"2020-02-04",35,2,0,60479951.6794299,50.833195644875,20.8197642360241,1.50387901436095
"2020-02-05",36,2,0,60479933.796769,63.0350592412547,25.8652509833355,2.13918957418913
"2020-02-06",37,2,0,60479913.0028924,76.8489578742245,32.0567039296744,2.9277145658746
"2020-02-07",38,3,0,60479888.9411524,92.4609582663618,39.5315498327443,3.90260831841127
"2020-02-08",39,3,0,60479861.2247511,110.068457029987,48.4420792121986,5.1009814465459
"2020-02-09",40,3,0,60479829.3826833,129.930720817993,58.958526937401,6.56433775421107
"2020-02-10",41,3,0,60479792.7796524,152.43944647315,71.277998948495,8.33917097854492
"2020-02-11",42,3,0,60479750.5014874,178.215508107705,85.6413645652905,10.4779087772058
"2020-02-12",43,3,0,60479701.2341312,208.201788980619,102.359896660529,13.0404519253487
"2020-02-13",44,3,0,60479643.2961256,243.600312306405,121.843332482861,16.0964983861932
"2020-02-14",45,3,0,60479574.6888501,285.800463323491,144.618450552717,19.7285048102803
"2020-02-15",46,3,0,60479493.1117805,336.346475669957,171.342930867504,24.0350817547238
"2020-02-16",47,3,0,60479396.0155927,396.87175828752,202.814211136375,29.1347066495767
"2020-02-17",48,3,0,60479280.720471,468.977178105608,239.969055625766,35.1695640075846
"2020-02-18",49,3,0,60479144.6366987,554.023254179703,283.867141764799,42.3091741409357
"2020-02-19",50,3,0,60478985.4959494,652.934871849038,335.652181622564,50.7532659169969
"2020-02-20",51,3,0,60478801.0244579,766.558440431776,396.519823445588,60.733546998045
"2020-02-21",52,19,1,60478588.561232,896.030194897964,467.729637940163,72.5152039507623
"2020-02-22",53,59,3,60478344.7803814,1043.0137297089,550.643041629666,86.3991160127496
"2020-02-23",54,150,5,60478065.2460034,1210.07501725751,646.789783187805,102.725464944503
"2020-02-24",55,221,8,60477743.7309459,1401.24695964777,757.978638194174,121.879725025307
"2020-02-25",56,311,11,60477371.2245613,1622.83683856006,886.472364886606,144.302504020537
"2020-02-26",57,438,15,60476934.8758213,1884.21111720595,1035.24405252832,170.505277709636
"2020-02-27",58,593,62,60476418.2289336,2197.26982701679,1208.24391867625,201.093589442003
"2020-02-28",59,821,67,60475801.3491123,2576.09436362783,1410.59626308414,236.79652975687
"2020-02-29",60,1053,75,60475060.3530272,3037.18751197514,1648.79429739268,278.501432187096
"2020-03-01",61,1577,117,60474166.9479558,3599.68103775644,1930.91312470658,327.29415051512
"2020-03-02",62,1835,201,60473088.0955412,4285.40396814949,2266.83145284436,384.505306513258
"2020-03-03",63,2263,239,60471785.9617139,5118.670462587,2668.44159392832,451.762498374685
"2020-03-04",64,2706,383,60470218.0871731,6125.88314573808,3149.81821913963,531.04773078238
"2020-03-05",65,3296,562,60468336.7258566,7335.96991705533,3727.38132565048,624.759169404275
"2020-03-06",66,3916,720,60466088.7906007,8780.18264689551,4420.08516162768,735.777859535051
"2020-03-07",67,5061,822,60463417.1238434,10490.6584206666,5249.51537512402,867.538629557546
"2020-03-08",68,6387,988,60460262.9532715,12497.9875224648,6239.79423574257,1024.10123905234
"2020-03-09",69,7985,1187,60456569.9701132,14827.4647117819,7417.18631747792,1210.21512629249
"2020-03-10",70,8794,1355,60452290.5655673,17493.6391299608,8809.26384440599,1431.36772702567
"2020-03-11",71,10590,1872,60447393.4122675,20494.1313140168,10443.4904767928,1693.80221041303
"2020-03-12",72,10590,1872,60441866.7556047,23808.149535401,12345.4407507502,2004.49037791596
"2020-03-13",73,14955,2705,60435722.0722452,27394.7298648583,14536.9777140766,2371.05644456712
"2020-03-14",74,17750,3407,60428999.4374362,31189.5521973419,17034.1984626059,2801.64817266745
"2020-03-15",75,20603,4144,60421771.6471813,35103.2543169406,19845.1859056094,3304.74886492871
"2020-03-16",76,23073,4907,60414146.0706119,39022.0740468287,22967.7641601797,3888.9274498242
"2020-03-17",77,26062,5444,60406263.2837557,42811.5004509233,26387.5218328205,4562.53022933425
"2020-03-18",78,28710,7003,60398291.5261733,46323.5614887675,30076.4227526744,5333.32585399223
"2020-03-19",79,33190,7845,60390415.9022833,49408.4237766024,33992.38556477,6208.12464410138
"2020-03-20",80,38549,8472,60382822.9082859,51929.3267426957,38080.1972658085,7192.40397432888
"2020-03-21",81,42681,10897,60375681.0889933,53779.7742353328,42273.9934369733,8289.9796031438
"2020-03-22",82,46638,12500,60369118.8519936,54901.7831698085,46501.4333208129,9502.76778454607
"2020-03-23",83,50826,13101,60363201.2376326,55303.3733003288,50689.5408476208,10830.6844882014
"2020-03-24",84,54030,15146,60357907.7673976,55073.3482586744,54771.9958867063,12271.7247258178
"2020-03-25",85,57521,16865,60353125.4275571,54379.9717039785,58697.1821495381,13822.2548581629
"2020-03-26",86,62013,18576,60348700.0384213,53414.1418344476,62433.1600147089,15477.4959983855
"2020-03-27",87,66414,20084,60344478.6089206,52347.2902759121,65966.8767732731,17232.0602989993
"2020-03-28",88,70065,22407,60340327.5437684,51315.9421565317,69300.924406795,19080.4259370595
"2020-03-29",89,73880,23809,60336149.0903475,50409.3967155341,72449.0435355889,21017.3056702114
"2020-03-30",90,75528,26211,60331896.2997176,49659.9970204456,75430.6608368928,23037.8786938076
"2020-03-31",91,77635,28157,60327586.3657907,49035.8695847303,78264.7376573497,25137.8632360578
"2020-04-01",92,80572,30002,60323299.9751094,48447.9563089912,80963.4885156988,27313.4163346763
"2020-04-02",93,83049,32193,60319126.5971956,47807.824656115,83529.5178999395,29560.8965171405
"2020-04-03",94,85388,34439,60315130.6498467,47059.3654008726,85958.1942981682,31876.6267230712
"2020-04-04",95,88274,36358,60311346.4454934,46180.4887330466,88241.1576103564,34256.7444319517
"2020-04-05",96,91246,37702,60307774.4509125,45183.4436607692,90369.7942887109,36697.1474068212
"2020-04-06",97,93187,39360,60304377.9381146,44114.7337097604,92338.6310822304,39193.5333622007
"2020-04-07",98,94067,41519,60301080.1675872,43054.5323692427,94148.6055354191,41741.5307769648
"2020-04-08",99,95262,44160,60297769.7958471,42108.1516572785,95809.973051872,44336.9157125178
"2020-04-09",100,96877,46749,60294337.9083283,41368.2428904239,97342.802909179,46975.8821409242
"2020-04-10",101,98273,49304,60290699.5820173,40895.7675179231,98774.2103921015,49655.2763415277
"2020-04-11",102,100269,52002,60286796.7887905,40720.2759459447,100135.027918276,52372.7436141232
"2020-04-12",103,102253,54110,60282600.2183963,40841.164634914,101456.666752651,55126.7864849477
"2020-04-13",104,103616,55900,60278110.8613983,41229.0402872584,102768.194479636,57916.7401036395
"2020-04-14",105,104291,58197,60273361.5574004,41826.9861757055,104093.622002841,60742.6706898961
"2020-04-15",106,105418,59737,60268413.1849595,42556.9328447196,105449.515190905,63605.2032737381
"2020-04-16",107,106607,62334,60263328.7880445,43346.4055648237,106844.339698368,66505.3029611907
