"Date","days","infected.obs","removed.obs","susceptible.pred","exposed.pred","infected.pred","removed.pred"
"2020-01-22",22,1,0,51469991.8192936,13.0744722058064,0,0
"2020-01-23",23,1,0,51469991.8192936,13.0744722058064,0,0
"2020-01-24",24,2,0,51469991.8192936,13.0744722058064,0,0
"2020-01-25",25,2,0,51469991.8192936,13.0744722058064,0,0
"2020-01-26",26,3,0,51469991.8192936,13.0744722058064,0,0
"2020-01-27",27,4,0,51469991.8192936,13.0744722058064,18.7749925943373,0.332189433115292
"2020-01-28",28,4,0,51469979.8226648,21.5894949892979,21.6660375885272,0.922750453741232
"2020-01-29",29,4,0,51469966.7514,29.5430412146834,26.0853450753782,1.62116147867663
"2020-01-30",30,4,0,51469952.2081863,37.3930180451359,31.9291435145789,2.47059991573765
"2020-01-31",31,11,0,51469936.0316135,45.3012896534236,39.1557900861744,3.51225453808325
"2020-02-01",32,12,0,51469918.2531328,53.2261447742154,47.7353085908151,4.78636161995285
"2020-02-02",33,15,0,51469899.0661573,60.9870208277947,57.6157503386898,6.33201938893707
"2020-02-03",34,15,0,51469878.7994166,68.3138955053325,68.7014391708829,8.18619654397873
"2020-02-04",35,16,0,51469857.880707,74.8965555474625,80.8414332344847,10.3822520258633
"2020-02-05",36,19,0,51469836.7862571,80.4380024420761,93.8284206050426,12.9482676169036
"2020-02-06",37,23,0,51469815.9757645,84.7111325475029,107.408542934429,15.9055078765342
"2020-02-07",38,23,1,51469795.8182909,87.6132793878076,121.302047728253,19.2673298215033
"2020-02-08",39,23,1,51469776.5244619,89.2049126662552,135.23273551705,23.0388377013093
"2020-02-09",40,22,3,51469758.0860859,89.734760091446,148.962614685489,27.217487127139
"2020-02-10",41,24,3,51469740.2221419,89.6544589073718,162.329588986479,31.7947579829755
"2020-02-11",42,25,3,51469722.3379834,89.6185486774207,175.285468252229,36.7589474569343
"2020-02-12",43,21,7,51469703.4955415,90.4745805699407,187.931772768041,42.0990529409327
"2020-02-13",44,21,7,51469682.385521,93.2534029739575,200.552363162287,47.8096606929549
"2020-02-14",45,21,7,51469657.2916412,99.1684007805971,213.644145246081,53.89676061845
"2020-02-15",46,19,9,51469626.0638834,109.606612664164,227.946008908693,60.3844428140334
"2020-02-16",47,20,9,51469586.0265784,126.182483395336,244.469447396055,67.3224385969647
"2020-02-17",48,20,10,51469533.7540301,150.902002639233,264.550098622299,74.79481643252
"2020-02-18",49,19,12,51469464.6925418,186.437057915874,289.940598163467,82.9307499574292
"2020-02-19",50,19,12,51469372.5577032,236.555123033196,322.969209700305,91.9189118885809
"2020-02-20",51,87,17,51469248.3888263,306.784060294224,366.800141910084,102.027919351934
"2020-02-21",52,186,18,51469079.2451229,405.275605114685,425.843684095496,113.636535720779
"2020-02-22",53,415,18,51468847.6251444,542.838639387492,506.259427972004,127.27773603352
"2020-02-23",54,578,24,51468530.9601904,732.929819872724,616.414030218318,143.696907331396
"2020-02-24",55,807,26,51468100.8936952,991.815996988053,767.367426012439,163.923829645796
"2020-02-25",56,945,32,51467524.0882173,1337.29762236011,973.256956624303,189.35815156274
"2020-02-26",57,1227,34,51466766.5742108,1784.41529152653,1251.15164164162,221.859803873606
"2020-02-27",58,1731,35,51465804.8292631,2335.77619259245,1619.57736678263,263.818125428567
"2020-02-28",59,2302,35,51464645.7049326,2965.66011357961,2094.492705107,318.143196599426
"2020-02-29",60,3107,43,51463339.6639995,3613.41320247407,2682.82564800584,388.098097887458
"2020-03-01",61,3689,47,51461984.311076,4186.60514331934,3376.14639019016,476.938338336715
"2020-03-02",62,4277,58,51460720.5060604,4570.54996743866,4145.56455756881,587.380362458597
"2020-03-03",63,5128,58,51459708.3513137,4654.44593125032,4940.23858292893,720.965119946399
"2020-03-04",64,5545,76,51459082.0190672,4371.88694102646,5692.62468970036,877.470249970884
"2020-03-05",65,6012,76,51458893.7935814,3743.56079195419,6332.04816407494,1054.59841044129
"2020-03-06",66,6416,177,51459074.6253231,2896.53390336403,6804.67161679971,1248.17010459603
"2020-03-07",67,6862,179,51459476.8949384,2004.7657197629,7089.45582470363,1452.88446497323
"2020-03-08",68,7146,168,51459944.335659,1217.80906299624,7198.53180683326,1663.3244189954
"2020-03-09",69,7307,171,51460347.8445822,633.07286499082,7168.27014189142,1874.81335878617
"2020-03-10",70,7212,301,51460605.2305495,287.611755234443,7047.20521483604,2083.95342825643
"2020-03-11",71,7407,348,51460686.3082162,164.643202940328,6884.24382224844,2288.8057064745
"2020-03-12",72,7470,399,51460608.3834879,207.490676495708,6719.36984256055,2488.75694091012
"2020-03-13",73,7403,576,51460425.5128106,336.717993380863,6577.61027599579,2684.15986787751
"2020-03-14",74,7504,582,51460197.1934363,482.921874464534,6468.0236147356,2875.86202234564
"2020-03-15",75,7577,585,51459968.3636743,602.516660086784,6388.32374846162,3064.79686498544
"2020-03-16",76,7024,1212,51459770.3419371,672.132058546301,6329.80109150369,3251.72586065807
"2020-03-17",77,6832,1488,51459622.2948019,683.633324846843,6280.96692988444,3437.10589117021
"2020-03-18",78,6789,1624,51459531.7996531,640.86083604925,6230.29088295726,3621.04957578644
"2020-03-19",79,6934,1631,51459494.9105284,557.403178195075,6168.3306471629,3803.35659411833
"2020-03-20",80,7018,1634,51459497.2008353,453.833054061015,6089.36654870183,3983.60050975928
"2020-03-21",81,7157,1642,51459521.5825482,349.250165921409,5991.91811953784,4161.2501142177
"2020-03-22",82,5941,3020,51459554.3094803,256.240202570776,5877.67058876865,4335.78067618209
